SC_ID,GasNode,ElecNode,ts,te,PcMin,PcMax,RcD,RcU,lambdaC,AlphaC,time,MIPGap,GasProfit,mSEDACost
sc99,ng102,ne101,13,16,0,25,-999,-999,2.22247069866897,-999,0.06818008422851562,0.0,195.40213495525722,2703.188964447201
sc100,ng101,ne101,13,16,0,20,-999,-999,1.9800000000000009,-999,0.3629646301269531,0.0,195.40213495525722,2703.188964447201
sc100,ng102,ne101,13,16,10,10,-999,-999,2.5767044055660033,-999,0.3629646301269531,0.0,195.40213495525722,2703.188964447201
sc101,ng101,ne101,13,16,0,20,-999,-999,,-999,,1e+100,,
sc101,ng102,ne101,13,16,10,20,-999,-999,,-999,,1e+100,,
sc102,ng101,ne101,13,16,0,20,-999,-999,2.222470698668971,-999,0.06116294860839844,0.0,195.40213495525722,2703.188964447201
sc102,ng102,ne101,13,16,10,25,-999,-999,2.222470698668971,-999,0.06116294860839844,0.0,195.40213495525722,2703.188964447201
sc103,ng101,ne101,13,16,10,10,-999,-999,2.4430000000000023,-999,0.44819068908691406,0.0,195.40213495525677,2703.188964447201
sc103,ng102,ne101,13,16,0,10,-999,-999,1.8400000000000003,-999,0.44819068908691406,0.0,195.40213495525677,2703.188964447201
sc104,ng101,ne101,13,16,10,10,-999,-999,2.754246965352502,-999,1.2734260559082031,0.0,195.40213495525677,2703.188964447201
sc104,ng102,ne101,13,16,0,20,-999,-999,1.84,-999,1.2734260559082031,0.0,195.40213495525677,2703.188964447201
sc105,ng101,ne101,13,16,10,10,-999,-999,2.6052000402725035,-999,0.08321952819824219,0.0,195.40213495525722,2703.188964447201
sc105,ng102,ne101,13,16,0,25,-999,-999,2.0240000000000005,-999,0.08321952819824219,0.0,195.40213495525722,2703.188964447201
sc106,ng101,ne101,13,16,10,10,-999,-999,4.265700397642252,-999,0.2967853546142578,0.0,189.1531062903773,2703.188964447201
sc106,ng102,ne101,13,16,10,10,-999,-999,0.0,-999,0.2967853546142578,0.0,189.1531062903773,2703.188964447201
sc107,ng101,ne101,13,16,10,10,-999,-999,2.7266348435697516,-999,0.3288764953613281,0.0,189.1531062903773,2703.188964447201
sc107,ng102,ne101,13,16,10,20,-999,-999,1.8400000000000003,-999,0.3288764953613281,0.0,189.1531062903773,2703.188964447201
sc108,ng101,ne101,13,16,10,10,-999,-999,2.871634843569752,-999,0.6547412872314453,0.0,189.1531062903705,2703.188964447201
sc108,ng102,ne101,13,16,10,25,-999,-999,1.8400000000000003,-999,0.6547412872314453,0.0,189.1531062903705,2703.188964447201
sc109,ng101,ne101,13,16,10,20,-999,-999,0.7150000000000001,-999,3.099233627319336,0.0,195.40213495525677,2703.188964447201
sc109,ng102,ne101,13,16,0,10,-999,-999,9.390580278117449,-999,3.099233627319336,0.0,195.40213495525677,2703.188964447201
sc110,ng101,ne101,13,16,10,20,-999,-999,,-999,,1e+100,,
sc110,ng102,ne101,13,16,0,20,-999,-999,,-999,,1e+100,,
sc111,ng101,ne101,13,16,10,20,-999,-999,2.2224706986689706,-999,0.06617546081542969,0.0,195.40213495525722,2703.188964447201
sc111,ng102,ne101,13,16,0,25,-999,-999,2.222470698668971,-999,0.06617546081542969,0.0,195.40213495525722,2703.188964447201
sc112,ng101,ne101,13,16,10,20,-999,-999,1.9320000000000002,-999,0.24164199829101562,0.0,189.15310629037685,2703.188964447201
sc112,ng102,ne101,13,16,10,10,-999,-999,2.5777003976422517,-999,0.24164199829101562,0.0,189.15310629037685,2703.188964447201
sc113,ng101,ne101,13,16,10,20,-999,-999,2.2221469382387222,-999,0.4130725860595703,0.0,189.15310629037685,2703.188964447201
